연도,발전원,지역구분,시도구분,개수,용량,지역개수,지역용량
2017,태양광,강원,강릉시,124,18929,1560,"196,297.24"
2017,태양광,강원,고성군,100,22305,1560,"196,297.24"
2017,태양광,강원,동해시,26,2516,1560,"196,297.24"
2017,태양광,강원,삼척시,54,8493,1560,"196,297.24"
2017,태양광,강원,속초시,32,2859,1560,"196,297.24"
2017,태양광,강원,양구군,246,26197,1560,"196,297.24"
2017,태양광,강원,양양군,17,2091,1560,"196,297.24"
2017,태양광,강원,영월군,84,9722,1560,"196,297.24"
2017,태양광,강원,원주시,195,22938.24,1560,"196,297.24"
2017,태양광,강원,인제군,115,12555,1560,"196,297.24"
2017,태양광,강원,정선군,53,7412,1560,"196,297.24"
2017,태양광,강원,철원군,89,13011,1560,"196,297.24"
2017,태양광,강원,춘천시,123,9216,1560,"196,297.24"
2017,태양광,강원,태백시,28,2965,1560,"196,297.24"
2017,태양광,강원,평창군,51,5785,1560,"196,297.24"
2017,태양광,강원,홍천군,79,7524,1560,"196,297.24"
2017,태양광,강원,화천군,35,5545,1560,"196,297.24"
2017,태양광,강원,횡성군,109,16234,1560,"196,297.24"
2017,태양광,경기,가평군,56,4018.06,1974,"165,012.17"
2017,태양광,경기,고양시,89,7539.09,1974,"165,012.17"
2017,태양광,경기,과천시,2,119,1974,"165,012.17"
2017,태양광,경기,광명시,3,88.28,1974,"165,012.17"
2017,태양광,경기,광주시,60,3954.91,1974,"165,012.17"
2017,태양광,경기,구리시,5,755,1974,"165,012.17"
2017,태양광,경기,군포시,2,992.8,1974,"165,012.17"
2017,태양광,경기,김포시,108,8570.95,1974,"165,012.17"
2017,태양광,경기,남양주시,50,3294.04,1974,"165,012.17"
2017,태양광,경기,동두천시,14,997,1974,"165,012.17"
2017,태양광,경기,부천시,7,265.81,1974,"165,012.17"
2017,태양광,경기,성남시,21,2307.4,1974,"165,012.17"
2017,태양광,경기,수원시,45,2893.97,1974,"165,012.17"
2017,태양광,경기,시흥시,46,6377.96,1974,"165,012.17"
2017,태양광,경기,안산시,58,4337.63,1974,"165,012.17"
2017,태양광,경기,안성시,114,14712.03,1974,"165,012.17"
2017,태양광,경기,안양시,8,436.54,1974,"165,012.17"
2017,태양광,경기,양주시,66,2965.74,1974,"165,012.17"
2017,태양광,경기,양평군,59,4261.6,1974,"165,012.17"
2017,태양광,경기,여주시,129,13064.46,1974,"165,012.17"
2017,태양광,경기,연천군,55,4165.84,1974,"165,012.17"
2017,태양광,경기,오산시,10,484.76,1974,"165,012.17"
2017,태양광,경기,용인시,77,8013.92,1974,"165,012.17"
2017,태양광,경기,의왕시,4,183.07,1974,"165,012.17"
2017,태양광,경기,의정부시,11,337.51,1974,"165,012.17"
2017,태양광,경기,이천시,101,9808.09,1974,"165,012.17"
2017,태양광,경기,파주시,155,10855.09,1974,"165,012.17"
2017,태양광,경기,평택시,207,13787.66,1974,"165,012.17"
2017,태양광,경기,포천시,126,12413.26,1974,"165,012.17"
2017,태양광,경기,하남시,14,1391.54,1974,"165,012.17"
2017,태양광,경기,화성시,272,21619.16,1974,"165,012.17"
2017,태양광,경남,거제시,23,1585.41,1565,"223,312.28"
2017,태양광,경남,거창군,133,27305.64,1565,"223,312.28"
2017,태양광,경남,고성군,124,18770.82,1565,"223,312.28"
2017,태양광,경남,김해시,125,16768.86,1565,"223,312.28"
2017,태양광,경남,남해군,71,4061.71,1565,"223,312.28"
2017,태양광,경남,밀양시,95,9725.65,1565,"223,312.28"
2017,태양광,경남,사천시,153,16678.68,1565,"223,312.28"
2017,태양광,경남,산청군,109,14708.66,1565,"223,312.28"
2017,태양광,경남,양산시,56,8888.3,1565,"223,312.28"
2017,태양광,경남,의령군,43,8072.12,1565,"223,312.28"
2017,태양광,경남,진주시,92,17498.99,1565,"223,312.28"
2017,태양광,경남,창녕군,75,12028,1565,"223,312.28"
2017,태양광,경남,창원시,130,16432.73,1565,"223,312.28"
2017,태양광,경남,통영시,15,690.16,1565,"223,312.28"
2017,태양광,경남,하동군,119,12372.1,1565,"223,312.28"
2017,태양광,경남,함안군,87,16788.28,1565,"223,312.28"
2017,태양광,경남,함양군,20,4301.23,1565,"223,312.28"
2017,태양광,경남,합천군,95,16634.94,1565,"223,312.28"
2017,태양광,경북,경산시,84,11464.11,2674,"403,163.71"
2017,태양광,경북,경주시,89,14461.65,2674,"403,163.71"
2017,태양광,경북,고령군,34,4174.96,2674,"403,163.71"
2017,태양광,경북,구미시,143,19574.51,2674,"403,163.71"
2017,태양광,경북,군위군,65,12702,2674,"403,163.71"
2017,태양광,경북,김천시,134,20425.03,2674,"403,163.71"
2017,태양광,경북,문경시,64,13089.78,2674,"403,163.71"
2017,태양광,경북,봉화군,93,17185.7,2674,"403,163.71"
2017,태양광,경북,상주시,475,65052.63,2674,"403,163.71"
2017,태양광,경북,성주군,101,17634.37,2674,"403,163.71"
2017,태양광,경북,안동시,205,29111.95,2674,"403,163.71"
2017,태양광,경북,영덕군,25,5875.56,2674,"403,163.71"
2017,태양광,경북,영양군,110,13431.92,2674,"403,163.71"
2017,태양광,경북,영주시,291,36450.47,2674,"403,163.71"
2017,태양광,경북,영천시,184,33909.46,2674,"403,163.71"
2017,태양광,경북,예천군,179,23327.81,2674,"403,163.71"
2017,태양광,경북,울진군,19,1284.6,2674,"403,163.71"
2017,태양광,경북,의성군,170,38287.61,2674,"403,163.71"
2017,태양광,경북,청도군,34,3387.13,2674,"403,163.71"
2017,태양광,경북,청송군,59,6708.69,2674,"403,163.71"
