³â  ¿ù,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.01,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.1,2022.11,2022.12,2023.01,2023.02
ÃÑ¹ßÀü¼³ºñ,"125,887","125,887","126,262","126,798","127,338","127,819","128,078","128,562","128,197","128,609","129,191","128,820","129,114","129,361","128,441","129,623","131,069","131,330","131,650","132,113","133,455","133,896","134,020","133,069","133,561","133,681","133,918","134,061","134,238","134,292","134,696","134,769","136,032","136,270","138,195","138,817","138,866"
(Áõ°¨·ü),-5.5,-5.1,-5.4,-5.8,-5.1,-5.5,-4.2,-5,-3.4,-3.4,-3.1,-2.8,-2.6,-2.8,-1.7,-2.2,-2.9,-2.7,-2.8,-2.8,-4.1,-4.1,-3.7,-3.3,-3.4,-3.3,-4.3,-3.4,-2.4,-2.3,-2.3,-2,-1.9,-1.8,-3.1,-4.3,-4
¿øÀÚ·Â,"23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","23,250","24,650","24,650","24,650"
(Áõ°¨·ü),-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6,-6,-6
¼®  Åº,"37,053","37,053","37,053","37,053","37,053","36,853","36,853","36,853","36,853","36,853","36,853","35,853","35,853","35,853","34,733","35,780","36,798","36,798","36,798","36,798","37,838","37,838","37,338","36,670","36,670","37,338","37,338","37,088","37,088","37,088","37,088","37,088","38,128","38,128","38,128","38,128","38,128"
(Áõ°¨·ü),-0.1,-0.1,-0.1,-0.1,-0.1,(-0.4),(-0.4),(-0.4),(-0.4),(-0.4),(-0.4),(-3.2),(-3.2),(-3.2),(-6.3),(-3.4),(-0.7),(-0.2),(-0.2),(-0.2),-2.7,-2.7,-1.3,-2.3,-2.3,-4.1,-7.5,-3.7,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-2.1,-2.1,-2.1
°¡  ½º,"41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,170","41,201","41,201","41,201","41,201","41,201","41,201","41,201","41,201","41,201","41,201","41,201","41,201","41,201","41,201","41,201"
(Áõ°¨·ü),-8.5,-8.5,-8.5,-8.5,-7.5,-7.5,-7.5,-7.5,-5.1,-4.1,-4.1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0,-0,-0
½ÅÀç»ý,"16,702","16,702","17,076","17,612","18,152","18,833","19,092","19,576","20,011","20,278","20,862","21,491","21,785","21,714","21,914","22,050","22,478","22,739","23,058","23,522","23,824","24,264","24,855","25,773","26,265","25,714","25,951","26,404","26,582","26,636","27,080","27,154","27,377","27,613","28,139","28,765","28,815"
(Áõ°¨·ü),-19.9,-15.9,-18.5,-22.3,-18.2,-22.7,-21,-28,-32.2,-34,-29.9,-32.9,-30.4,-32.3,-30.4,-27.3,-25.9,-22.7,-22.7,-22,-20.9,-21.5,-21,-21.7,-22.3,-18.4,-18.4,-19.7,-18.3,-17.1,-17.4,-15.4,-14.9,-13.8,-13.2,-14.6,-12.6
À¯  ·ù,"2,101","2,101","2,101","2,101","2,101","2,101","2,101","2,101","2,101","2,247","2,247","2,159","2,159","2,159","2,159","2,159","2,159","2,159","2,159","2,159","2,159","2,159","2,160",960,960,960,960,960,960,960,920,920,920,920,920,916,916
(Áõ°¨·ü),(-45.6),(-45.6),(-45.6),(-45.6),(-45.6),(-45.6),(-45.6),(-45.6),(-45.6),(-41.8),(-41.9),-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,(-3.9),(-3.9),(-55.5),(-55.5),(-55.5),(-55.5),(-55.5),(-55.5),(-55.5),(-57.4),(-57.4),(-57.4),(-57.4),(-57.4),(-4.6),(-4.6)
¾ç  ¼ö,"4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700","4,700"
(Áõ°¨·ü),-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
±â  Å¸,912,912,912,912,912,912,912,912,112,112,109,197,197,515,515,514,514,514,515,515,515,515,515,515,515,518,518,458,457,457,457,456,456,457,457,457,457
(Áõ°¨·ü),-1088.8,-1088.8,-1088.8,-1088.8,-1018.9,-1018.9,-1018.9,-1018.9,(-87.7),(-87.7),(-88.1),(-78.4),(-78.4),(-57.0),(-56.7),(-57.3),(-57.3),(-57.6),(-57.5),(-57.6),-21.8,-21.7,-20.8,(-0.0),(-0.0),-0.6,-0.6,(-11.0),(-11.2),(-11.2),(-11.4),(-11.4),(-11.4),(-11.3),(-11.3),(-11.3),(-11.2)
