³â  ¿ù,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.01,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.1,2022.11,2022.12,2023.01,2023.02
ÃÑ¹ßÀü·®,"46,439","46,141","42,252","41,578","43,825","46,680","51,046","44,599","43,164","44,932","51,600","53,156","44,973","47,193","43,637","44,305","45,788","54,145","51,796","45,410","46,147","46,885","53,374","54,792","48,526","49,659","44,859","46,181","47,587","55,027","53,964","46,308","45,742","46,223","55,570","54,116","47,712"
(Áõ°¨·ü),-3.4,(-2.3),(-3.9),(-6.2),-0.1,(-6.2),(-1.2),-0.3,(-3.3),(-0.5),-2.6,-6.6,(-3.2),-2.2,-3.3,-6.5,-4.5,-16,-1.5,-1.8,-6.9,-4.3,-3.4,-3.1,-7.9,-5.2,-2.8,-4.2,-3.9,-1.6,-4.2,-2,(-0.9),(-1.4),-4.1,(-1.2),(-1.6)
¿øÀÚ·Â,"12,690","14,463","13,689","15,258","14,069","13,721","12,526","9,293","13,468","14,048","15,060","14,042","12,732","13,800","12,551","12,760","11,314","12,303","12,780","12,172","13,462","13,567","16,532","16,103","13,990","13,867","13,385","14,610","14,726","15,355","16,309","14,094","14,382","14,006","15,229","15,655","13,606"
(Áõ°¨·ü),-15,-3.1,(-3.3),-3.3,-3.6,-17.5,-2.7,(-10.0),-27.1,-37.4,-36.2,-18,-0.3,(-4.6),(-8.3),(-16.4),(-19.6),(-10.3),-2,-31,(-0.0),(-3.4),-9.8,-14.7,-9.9,-0.5,-6.7,-14.5,-30.2,-24.8,-27.6,-15.8,-6.8,-3.2,(-7.9),(-2.8),(-2.7)
¼®  Åº,"16,244","13,750","14,870","14,668","16,312","18,828","20,431","18,348","14,284","14,441","15,814","17,800","14,460","13,214","12,862","14,511","16,679","21,387","20,860","16,378","15,398","16,218","18,201","18,362","15,914","14,007","13,289","13,551","15,549","19,672","18,930","15,561","14,494","14,993","18,908","17,961","15,690"
(Áõ°¨·ü),(-12.7),(-17.4),-2.9,(-2.1),(-5.9),(-14.6),(-10.0),(-11.6),(-27.7),(-23.6),(-16.7),(-3.8),(-11.0),(-3.9),(-12.5),(-1.1),-2.2,-13.6,-2.1,(-10.7),-7.8,-12.3,-15.1,-3.2,-10.1,-6,-3.3,(-6.6),(-6.8),(-8.0),(-9.3),(-5.0),(-5.9),(-7.6),-3.9,(-2.2),(-1.4)
°¡  ½º,"13,770","13,503","9,320","7,564","9,445","10,366","13,264","12,012","11,496","12,732","16,634","17,339","13,769","15,675","13,452","12,192","13,331","15,644","13,791","12,598","13,005","13,186","14,396","15,252","13,658","16,658","12,795","12,150","12,510","14,812","13,227","11,410","11,544","12,722","16,874","15,480","13,748"
(Áõ°¨·ü),-14.8,-10.7,(-20.4),(-28.3),-2,(-15.1),-6,-20.9,-9.9,-0.7,-1.7,-9.8,(-0.0),-15.9,-44.5,-61.2,-41.1,-50.9,-4,-4.9,-13.1,-3.6,(-13.5),(-12.0),(-0.8),-6.3,(-4.9),(-0.3),(-6.2),(-5.3),(-4.1),(-9.4),(-11.2),(-3.5),-17.2,-1.5,-0.9
½ÅÀç»ý,"2,670","3,368","3,377","3,119","2,920","2,775","3,723","3,792","3,361","3,002","3,312","3,149","3,367","3,711","4,038","4,195","3,709","3,823","3,638","3,504","3,509","3,195","3,506","4,019","4,184","4,372","4,761","5,280","4,203","4,591","4,838","4,620","4,614","3,854","3,850","4,254","3,984"
(Áõ°¨·ü),(-3.4),-0.8,-8.2,(-12.6),(-7.4),(-13.7),-3.8,-27,-25.2,-30.9,-29,-30.4,-26.1,-14.2,-16.9,-40.4,-32.6,-44.9,-0.9,(-4.2),-8.6,-11.3,-10.7,-33.2,-28.8,-17.8,-17.9,-25.9,-13.3,-20.1,-33,-31.9,-31.5,-20.6,-9.8,-5.9,(-4.8)
À¯  ·ù,130,121,127,77,94,86,186,329,114,387,316,301,148,125,140,140,174,339,107,256,248,224,154,478,199,170,126,102,122,118,111,111,126,135,168,201,169
(Áõ°¨·ü),(-38.4),(-82.0),(-31.9),(-54.3),(-51.3),(-65.3),(-33.7),-167.8,(-34.2),-137.6,(-31.3),(-4.4),-13.8,-2.8,-38.3,-81.5,-85.1,-293.5,(-42.5),(-22.2),-117.8,(-42.1),(-51.1),-58.8,-34.1,-36.3,(-9.6),(-27.2),(-29.8),(-65.1),-3.6,(-56.6),(-49.2),(-39.7),-9,(-58.0),(-14.8)
