,날짜,평균 이산화탄소(CO2) 배경대기농도(ppm)
0,2017-01,413.5
1,2017-02,414.5
2,2017-03,415.8
3,2017-04,416.3
4,2017-05,415.2
5,2017-06,412.1
6,2017-07,408.0
7,2017-08,405.1
8,2017-09,406.1
9,2017-10,410.3
10,2017-11,414.1
11,2017-12,415.7
12,2018-06,414.13
13,2018-07,410.2
14,2018-08,406.96
15,2018-09,408.85
16,2018-10,414.18
17,2018-11,417.66
18,2018-12,418.41
19,2019-01,419.0
20,2019-02,420.0
21,2019-03,421.1
22,2019-04,422.0
23,2019-05,420.5
24,2019-06,416.8
25,2019-07,413.6
26,2019-08,411.8
27,2019-09,412.8
28,2019-10,416.2
29,2019-11,419.3
30,2019-12,421.2
31,2020-01,424.3
32,2020-02,423.6
33,2020-03,423.5
34,2020-04,424.2
35,2020-05,423.4
36,2020-06,418.5
37,2020-07,414.4
38,2020-08,413.6
39,2020-09,414.8
40,2020-10,418.7
41,2020-11,421.9
42,2020-12,423.6
43,2021-01,425.614973571554
44,2021-02,426.480924452291
45,2021-03,426.821126720978
46,2021-04,427.072890364311
47,2021-05,424.801846267718
48,2021-06,421.756407712739
49,2021-07,418.987658988877
50,2021-08,415.575718961071
51,2021-09,416.259437618822
52,2021-10,421.893847936517
53,2021-11,425.74603121734
54,2021-12,426.708742848466
