날짜,시간,기온(°C),강수량(mm),풍속(m/s),습도(%)
2017-04-01,0:00,4.9,0.0,1.5,81.0
2017-04-01,1:00,5.1,0.0,1.3,77.0
2017-04-01,2:00,5.7,0.0,0.8,74.0
2017-04-01,3:00,5.7,0.0,0.6,77.0
2017-04-01,4:00,5.5,0.0,0.5,78.0
2017-04-01,5:00,5.6,0.0,1.0,80.0
2017-04-01,6:00,5.6,0.0,0.4,79.0
2017-04-01,7:00,5.4,0.0,1.9,78.0
2017-04-01,8:00,6.6,0.0,1.7,71.0
2017-04-01,9:00,8.7,0.0,0.6,61.0
2017-04-01,10:00,9.3,0.0,2.3,60.0
2017-04-01,11:00,9.9,0.0,2.0,57.0
2017-04-01,12:00,11.7,0.0,4.4,51.0
2017-04-01,13:00,12.9,0.0,2.8,39.0
2017-04-01,14:00,13.2,0.0,4.6,34.0
2017-04-01,15:00,14.8,0.0,3.8,29.0
2017-04-01,16:00,9.5,1.0,1.4,68.0
2017-04-01,17:00,12.1,0.0,0.9,46.0
2017-04-01,18:00,11.7,0.0,2.6,51.0
2017-04-01,19:00,10.2,0.0,2.3,47.0
2017-04-01,20:00,9.2,0.0,2.3,48.0
2017-04-01,21:00,8.4,0.0,3.5,60.0
2017-04-01,22:00,7.3,0.0,3.3,66.0
2017-04-01,23:00,5.9,0.0,2.0,74.0
2017-04-02,0:00,5.3,0.0,2.3,76.0
2017-04-02,1:00,4.9,0.0,1.0,78.0
2017-04-02,2:00,4.6,0.0,0.3,76.0
2017-04-02,3:00,4.2,0.0,1.1,77.0
2017-04-02,4:00,4.0,0.0,0.3,78.0
2017-04-02,5:00,3.3,0.0,1.2,83.0
2017-04-02,6:00,3.1,0.0,0.4,83.0
2017-04-02,7:00,3.2,0.0,0.4,83.0
2017-04-02,8:00,4.9,0.0,2.0,74.0
2017-04-02,9:00,7.7,0.0,0.5,65.0
2017-04-02,10:00,10.1,0.0,1.5,59.0
2017-04-02,11:00,12.3,0.0,2.0,41.0
2017-04-02,12:00,13.5,0.0,3.2,32.0
2017-04-02,13:00,14.2,0.0,3.1,27.0
2017-04-02,14:00,15.0,0.0,5.0,29.0
